hanja,meaning,reading,source
實(实),열매,실,material
心,마음,심,material;textbook
深,깊을,심,material
審(审),찾을,심,material
甚,심할,심,material
尋(寻),찾을,심,material
十,열,십,material;textbook
雙(双),두,쌍,material
氏,성씨,씨,material
兒(儿),아이,아,material
我,나,아,material;textbook
餓(饿),굶주릴,아,material
牙,어금니,아,material
芽,싹,아,material
雅,맑을,아,material
亞(亚),버금,아,material
惡(恶),나쁠,악,material
嶽(岳),큰산,악,material
雁,기러기,안,material
岸,언덕,안,material
安,편안,안,material;textbook
案,책상,안,material
顔(颜),얼굴,안,material
謁(谒),알현할,알,material
眼,눈,안,material;textbook
暗,어두울,암,material
巖(岩),바위,암,material
押,누를,압,material;textbook
壓(压),누를,압,material
央,가운데,앙,material
殃,재앙,앙,material
仰,우러를,앙,material
愛(爱),사랑,애,material;textbook
哀,슬플,애,material
涯,물가,애,material
厄,액,액,material
額(额),이마,액,material
也,어조사,야,material;textbook
耶,어조사,야,material
夜,밤,야,material;textbook
野,들,야,material
弱,약할,약,material;textbook
約(约),맺을,약,material;textbook
若,만약,약,material;textbook
藥(药),약,약,material;textbook
躍(跃),뛸,약,material
羊,양,양,material;textbook
洋,큰바다,양,material;textbook
養(养),기를,양,material;textbook
樣(样),모양,양,material
陽(阳),볕,양,material;textbook
揚(扬),날릴,양,material
楊(杨),버들,양,material
壤,흙덩이,양,material
讓(让),사양할,양,material;textbook
魚(鱼),물고기,어,material
漁(渔),고기잡을,어,material;textbook
語(语),말씀,어,material;textbook
於(于),어조사,어,material;textbook
御,거느릴,어,material
抑,누를,억,material
億(亿),억,억,material
憶(忆),생각,억,material;textbook
言,말씀,언,material;textbook
焉,어조사,언,material
嚴(严),엄할,엄,material
業(业),업,업,material;textbook
餘(余),나,여,material
如,같을,여,material;textbook
汝,너,여,material
予,나,여,material
與(与),줄,여,material;textbook
輿(舆),수레,여,material
亦,또,역,material;textbook
易,바꿀,역,material;textbook
逆,거스를,역,material;textbook
役,부릴,역,material
疫,전염병,역,material
域,지경,역,material
譯(译),번역할,역,material
驛(驿),역,역,material
然,그럴,연,material
燃,탈,연,material
煙(烟),연기,연,material
燕,제비,연,material
宴,잔치,연,material
演,펼,연,material
沿,물따라갈,연,material
鉛(铅),납,연,material
延,늘일,연,material
硏,갈,연,material
軟(软),연할,연,material
緣(缘),인연,연,material
悅(悦),기쁠,열,material
閱(阅),볼,열,material
熱(热),더울,열,material;textbook
炎,불꽃,염,material;textbook
染,물들,염,material
鹽(盐),소금,염,material
葉(叶),잎,엽,material;textbook
永,길,영,material
泳,헤엄칠,영,material
詠(咏),읊을,영,material
英,꽃부리,영,material;textbook
榮(荣),영화로울,영,material
營(营),경영할,영,material;textbook
映,비칠,영,material
影,그림자,영,material;textbook
迎,맞을,영,material
豫,미리,예,material
銳(锐),날카로울,예,material
譽(誉),기릴,예,material
藝(艺),재주,예,material
五,다섯,오,material;textbook
吾,나,오,material;textbook
悟,깨달을,오,material
午,낮,오,material;textbook
汚,더러울,오,material
傲,거만할,오,material
烏(乌),까마귀,오,material
嗚(呜),울,오,material
娛(娱),즐길,오,material
誤(误),그르칠,오,material;textbook
玉,구슬,옥,material;textbook
屋,집,옥,material;textbook
獄(狱),옥,옥,material
溫(温),따뜻할,온,material
翁,늙은이,옹,material
擁(拥),낄,옹,material
瓦,기와,와,material
臥(卧),누울,와,material
完,온전할,완,material
緩(缓),느릴,완,material
曰,가로,왈,material
王,임금,왕,material;textbook
往,갈,왕,material;textbook
外,바깥,외,material;textbook
畏,두려울,외,material
要,구할,요,material
腰,허리,요,material
搖(摇),흔들,요,material
謠(谣),노래,요,material
遙(遥),멀,요,material
浴,목욕할,욕,material
欲,하고자할,욕,material;textbook
慾(欲),욕심,욕,material;textbook
辱,욕될,욕,material
容,얼굴,용,material;textbook
勇,날랠,용,material;textbook
用,쓸,용,material;textbook
庸,떳떳할,용,material
雨,비,우,material;textbook
牛,소,우,material
宇,집,우,material
又,또,우,material;textbook
友,벗,우,material;textbook
右,오른,우,material;textbook
尤,더욱,우,material
偶,짝,우,material
遇,만날,우,material;textbook
愚,어리석을,우,material;textbook
憂(忧),근심,우,material;textbook
優(优),넉넉할,우,material
羽,깃,우,material
郵(邮),우편,우,material
雲(云),이를,운,material;textbook
運(运),옮길,운,material;textbook
韻(韵),운,운,material
雄,수컷,웅,material
元,으뜸,원,material;textbook
院,집,원,material
原,언덕,원,material;textbook
源,근원,원,material
願(愿),원할,원,material;textbook
員(员),인원,원,material;textbook
圓(圆),둥글,원,material
園(园),동산,원,material
遠(远),멀,원,material;textbook
援,도울,원,material
怨,원망할,원,material
月,달,월,material;textbook
越,뛰어넘을,월,material
位,자리,위,material
爲(为),될,위,material
僞(伪),거짓,위,material
偉(伟),클,위,material
衛(卫),지킬,위,material;textbook
圍(围),에워쌀,위,material;textbook
違(违),어길,위,material
緯(纬),세로,위,material
危,위태할,위,material;textbook
委,맡길,위,material
威,위엄,위,material
慰,위로할,위,material
胃,밥통,위,material
謂(谓),말할,위,material
有,있을,유,material;textbook
由,말미암을,유,material;textbook
油,기름,유,material
酉,닭,유,material;textbook
猶(犹),같을,유,material
幼,어릴,유,material
幽,그윽할,유,material
唯,오직,유,material
惟,생각할,유,material
維(维),벼리,유,material
乳,젖,유,material
柔,부드러울,유,material
誘(诱),꾈,유,material
裕,넉넉할,유,material
儒,선비,유,material
愈,나을,유,material
悠,멀,유,material
遊(游),놀,유,material
遺(遗),남길,유,material
肉,고기,육,material;textbook
育,기를,육,material
閏(闰),윤달,윤,material
潤(润),윤택할,윤,material;textbook
恩,은혜,은,material;textbook
銀(银),은,은,material;textbook
隱(隐),숨을,은,material
乙,새,을,material;textbook
音,소리,음,material;textbook
吟,읊을,음,material
陰(阴),그늘,음,material;textbook
飮,마실,음,material
淫,음란할,음,material
泣,울,읍,material
邑,고을,읍,material
應(应),응할,응,material;textbook
凝,엉길,응,material
疑,의심,의,material
衣,옷,의,material;textbook
依,의지할,의,material
矣,어조사,의,material
宜,마땅,의,material
義(义),옳을,의,material;textbook
儀(仪),거동,의,material
議(议),의논할,의,material
意,뜻,의,material;textbook
醫(医),의원,의,material
二,두,이,material;textbook
而,말이을,이,material;textbook
以,써,이,material;textbook
已,뿐,이,material;textbook
耳,귀,이,material;textbook
夷,오랑캐,이,material
異(异),다를,이,material
移,옮길,이,material;textbook
益,더할,익,material
翼,날개,익,material
人,사람,인,material;textbook
仁,어질,인,material;textbook
因,인할,인,material
姻,혼인,인,material
印,도장,인,material;textbook
忍,참을,인,material
認(认),알,인,material
引,끌,인,material;textbook
寅,범,인,material;textbook
一,한,일,material;textbook
日,해,일,material;textbook
逸,편안할,일,material
壬,천간,임,material;textbook
任,맡길,임,material
賃(赁),품삯,임,material
入,들,입,material;textbook
子,아들,자,material;textbook
字,글자,자,material;textbook
者,놈,자,material;textbook
自,스스로,자,material;textbook
姊,누이,자,material;textbook
姿,모양,자,material
恣,방자할,자,material
資(资),재물,자,material
紫,자줏빛,자,material
玆,이,자,material
慈,사랑,자,material
刺,찌를,자,material
作,지을,작,material;textbook
昨,어제,작,material
酌,술부을,작,material
爵,벼슬,작,material
殘(残),남을,잔,material
暫(暂),잠깐,잠,material
潛(潜),잠길,잠,material
雜(杂),섞일,잡,material
長(长),긴,장,material;textbook
帳(帐),장막,장,material
張(张),베풀,장,material
章,글,장,material;textbook
障,막을,장,material
掌,손바닥,장,material
場(场),마당,장,material;textbook
腸(肠),창자,장,material
丈,어른,장,material
壯(壮),장할,장,material
莊(庄),씩씩할,장,material
裝(装),꾸밀,장,material
將(将),장수,장,material
獎(奖),장려할,장,material
粧,단장할,장,material
墻(墙),담,장,material
藏,감출,장,material;textbook
臟(脏),오장,장,material
葬,장사지낼,장,material
才,재주,재,material;textbook
材,재목,재,material
財(财),재물,재,material;textbook
在,있을,재,material;textbook
再,두,재,material;textbook
栽,심을,재,material
裁,옷마를,재,material
載(载),실을,재,material
哉,어조사,재,material
宰,재상,재,material
災(灾),재앙,재,material
爭(争),다툴,쟁,material
低,낮을,저,material;textbook
抵,막을,저,material
底,밑,저,material
貯(贮),쌓을,저,material
著,지을,저,material
赤,붉을,적,material;textbook
跡(迹),발자취,적,material
的,과녁,적,material;textbook
滴,물방울,적,material
摘,딸,적,material
適(适),알맞을,적,material
敵(敌),대적할,적,material;textbook
籍,문서,적,material
積(积),쌓을,적,material
績(绩),길쌈,적,material
賊(贼),도적,적,material
寂,고요할,적,material
田,밭,전,material;textbook
典,법,전,material;textbook
全,온전,전,material;textbook
前,앞,전,material;textbook
展,펼,전,material;textbook
殿,큰집,전,material
專(专),오로지,전,material
傳(传),전할,전,material
轉(转),구를,전,material;textbook
錢(钱),돈,전,material
戰(战),싸움,전,material;textbook
電(电),번개,전,material;textbook
切,끊을,절,material
絶(绝),끊을,절,material
折,꺾을,절,material
節(节),마디,절,material;textbook
竊(窃),훔칠,절,material
佔(占),점칠,점,material
店,가게,점,material;textbook
點(点),점,점,material;textbook
漸(渐),점점,점,material
接,이을,접,material
蝶,나비,접,material
丁,장정,정,material;textbook
亭,정자,정,material
停,머무를,정,material
訂(订),바로잡을,정,material
頂(顶),정수리,정,material
貞(贞),곧을,정,material
井,우물,정,material;textbook
定,정할,정,material;textbook
正,바를,정,material;textbook
政,정사,정,material
徵(征),칠,정,material
整,가지런할,정,material
程,길,정,material
廷,조정,정,material
庭,뜰,정,material
淨(净),깨끗할,정,material;textbook
情,뜻,정,material;textbook
靜(静),고요할,정,material;textbook
精,정밀할,정,material;textbook
弟,아우,제,material;textbook
第,차례,제,material;textbook
題(题),제목,제,material
提,끌,제,material
堤,둑,제,material
祭,제사,제,material
際(际),가,제,material
除,덜,제,material
帝,임금,제,material
制,만들,제,material
製(制),지을,제,material
諸(诸),여러,제,material;textbook
齊(齐),가지런할,제,material;textbook
濟(济),건널,제,material
鳥(鸟),새,조,material
早,일찍,조,material;textbook
朝,아침,조,material;textbook
潮,조수,조,material
燥,마를,조,material
照,비칠,조,material
祖,할아비,조,material;textbook
組(组),짤,조,material
租,조세,조,material
助,도울,조,material
造,지을,조,material
操,잡을,조,material
條(条),가지,조,material;textbook
調(调),고를,조,material
弔(吊),조상할,조,material
兆,억조,조,material
足,발,족,material;textbook
族,겨레,족,material;textbook
存,있을,존,material;textbook
尊,높을,존,material
卒,병사,졸,material
拙,못날,졸,material
種(种),씨,종,material
鍾(钟),쇠북,종,material
宗,마루,종,material
終(终),끝,종,material
從(从),좇을,종,material;textbook
縱(纵),세로,종,material
左,왼,좌,material;textbook
佐,도울,좌,material
坐,앉을,좌,material;textbook
座,자리,좌,material;textbook
罪,허물,죄,material;textbook
主,주인,주,material
住,살,주,material;textbook
注,부을,주,material;textbook
柱,기둥,주,material
朱,붉을,주,material
株,그루,주,material;textbook
珠,구슬,주,material
走,달릴,주,material;textbook
宙,집,주,material
晝(昼),낮,주,material
奏,아뢸,주,material
周,두루,주,material
舟,배,주,material
州,고을,주,material;textbook
洲,물가,주,material
酒,술,주,material;textbook
鑄(铸),쇠불릴,주,material
竹,대나무,죽,material;textbook
俊,준걸,준,material
準(准),기준,준,material;textbook
遵,좇을,준,material
中,가운데,중,material;textbook
仲,버금,중,material
重,무거울,중,material
衆(众),무리,중,material
卽(即),곧,즉,material
曾,일찍,증,material
增,더할,증,material
憎,미워할,증,material
贈(赠),줄,증,material
證(证),증거,증,material;textbook
蒸,찔,증,material
症,증세,증,material
之,어조사,지,material;textbook
止,그칠,지,material;textbook
地,땅,지,material;textbook
池,못,지,material
知,알,지,material;textbook
智,지혜,지,material
志,뜻,지,material;textbook
誌(志),기록할,지,material
只,다만,지,material;textbook
支,지탱할,지,material;textbook
枝,가지,지,material
至,이를,지,material;textbook
紙(纸),종이,지,material
持,가질,지,material;textbook
指,가리킬,지,material
遲(迟),더딜,지,material;textbook
織(织),짤,직,material
職(职),직분,직,material
直,곧을,직,material;textbook
辰,별,진,material;textbook
振,떨칠,진,material
震,우레,진,material
盡(尽),다할,진,material;textbook
眞(真),참,진,material
鎭(镇),진압할,진,material
進(进),나아갈,진,material;textbook
陣(阵),진칠,진,material
陳(陈),베풀,진,material
珍,보배,진,material
質(质),바탕,질,material;textbook
疾,병,질,material
秩,차례,질,material
姪,조카,질,material
集,모을,집,material;textbook
執(执),잡을,집,material;textbook
懲(惩),징계할,징,material
且,또,차,material;textbook
此,이,차,material;textbook
次,버금,차,material;textbook
借,빌릴,차,material;textbook
差,다를,차,material
着,붙을,착,material;textbook
錯(错),섞일,착,material
捉,잡을,착,material
贊(赞),도울,찬,material
讚(赞),기릴,찬,material
察,살필,찰,material;textbook
參(参),석,삼,material;textbook
慘(惨),참혹할,참,material
慙,부끄러울,참,material
昌,창성할,창,material;textbook
唱,부를,창,material
暢(畅),화창할,창,material
倉(仓),곳집,창,material
創(创),비롯할,창,material
蒼(苍),푸를,창,material
窓,창문,창,material
採(采),캘,채,material
菜,나물,채,material
彩,채색,채,material
債(债),빚,채,material
冊(册),책,책,material;textbook
策,꾀,책,material
責(责),맡을,책,material;textbook
妻,아내,처,material
處(处),곳,처,material;textbook
尺,자,척,material;textbook
斥,물리칠,척,material
拓,넓힐,척,material;textbook
戚,친척,척,material
天,하늘,천,material;textbook
川,내,천,material;textbook
千,일천,천,material;textbook
泉,샘,천,material;textbook
淺(浅),얕을,천,material;textbook
賤(贱),천할,천,material
踐(践),밟을,천,material
薦(荐),천거할,천,material
遷(迁),옮길,천,material
哲,밝을,철,material
徹(彻),통할,철,material
鐵(铁),쇠,철,material
尖,뾰족할,첨,material
添,더할,첨,material
妾,아내,첩,material
靑,푸를,청,material
淸,맑을,청,material
晴,갤,청,material;textbook
請(请),청할,청,material;textbook
聽(听),들을,청,material;textbook
廳(厅),관청,청,material
替,바꿀,체,material
體(体),몸,체,material;textbook
滯(滞),막힐,체,material
逮,잡을,체,material
遞(递),갈릴,체,material
草,풀,초,material;textbook
初,처음,초,material
招,부를,초,material
超,뛰어넘을,초,material
肖,닮을,초,material
抄,뽑을,초,material
秒,분초,초,material
礎(础),주춧돌,초,material
促,재촉할,촉,material
燭(烛),촛불,촉,material
觸(触),닿을,촉,material
寸,마디,촌,material
村,마을,촌,material;textbook
銃(铳),총,총,material
總(总),다,총,material
聰(聪),귀밝을,총,material
最,가장,최,material;textbook
催,재촉할,최,material
秋,가을,추,material;textbook
抽,뽑을,추,material;textbook
推,밀,추,material;textbook
追,쫓을,추,material
醜(丑),추할,추,material;textbook
逐,쫓을,축,material
祝,빌,축,material
縮(缩),줄일,축,material
畜,가축,축,material
蓄,모을,축,material
築(筑),쌓을,축,material
春,봄,춘,material;textbook
出,날,출,material;textbook
充,채울,충,material
忠,충성,충,material
蟲(虫),벌레,충,material
衝(冲),찌를,충,material;textbook
取,가질,취,material
趣,뜻,취,material
吹,불,취,material;textbook
臭,냄새,취,material
就,나아갈,취,material
醉,취할,취,material
側(侧),곁,측,material
測(测),헤아릴,측,material
層(层),층,층,material;textbook
治,다스릴,치,material
値,값,치,material
置,둘,치,material
恥(耻),부끄러울,치,material
致,이를,치,material
齒(齿),이,치,material
則(则),곧,즉,material;textbook
親(亲),친할,친,material;textbook
七,일곱,칠,material;textbook
漆,옻,칠,material
針(针),바늘,침,material
沈,잠길,침,material;textbook
枕,베개,침,material
浸,잠길,침,material
侵,침노할,침,material
寢(寝),잠잘,침,material
稱(称),일컬을,칭,material
快,쾌할,쾌,material
他,다를,타,material;textbook
打,칠,타,material
妥,온당할,타,material
墮(堕),떨어질,타,material
卓,높을,탁,material
託(托),맡길,탁,material
濁(浊),흐릴,탁,material
濯,씻을,탁,material
炭,숯,탄,material
彈(弹),탄알,탄,material
歎(叹),탄식할,탄,material
誕(诞),거짓,탄,material
脫(脱),벗을,탈,material
奪(夺),빼앗을,탈,material
探,찾을,탐,material
貪(贪),탐할,탐,material
塔,탑,탑,material
湯(汤),끓을,탕,material
太,클,태,material;textbook
泰,클,태,material
殆,거의,태,material
怠,게으를,태,material
態(态),모습,태,material
宅,집,택,material
擇(择),가릴,택,material
澤(泽),못,택,material
土,흙,토,material
吐,토할,토,material;textbook
討(讨),칠,토,material
通,통할,통,material;textbook
痛,아플,통,material
統(统),거느릴,통,material
退,물러날,퇴,material
投,던질,투,material;textbook
透,사무칠,투,material
鬪,싸움,투,material
特,특별할,특,material;textbook
罷(罢),마칠,파,material
波,물결,파,material
破,깨뜨릴,파,material
頗(颇),자못,파,material
派,갈래,파,material
播,뿌릴,파,material
把,잡을,파,material
板,널,판,material
版,판목,판,material
販(贩),팔,판,material
判,판단할,판,material;textbook
八,여덟,팔,material;textbook
貝(贝),조개,패,material
敗(败),패할,패,material;textbook
片,조각,편,material;textbook
便,편할,편,material
篇,책,편,material;textbook
編(编),엮을,편,material
遍,두루,편,material
偏,치우칠,편,material
平,평평할,평,material
評(评),평할,평,material
閉(闭),닫을,폐,material
廢(废),폐할,폐,material
肺,허파,폐,material
弊,해질,폐,material
幣(币),화폐,폐,material
蔽,덮을,폐,material
布,베,포,material
浦,개,포,material
捕,잡을,포,material
包,쌀,포,material;textbook
抱,안을,포,material
胞,세포,포,material
飽(饱),배부를,포,material
幅,폭,폭,material
暴,사나울,폭,material
爆,불터질,폭,material
表,겉,표,material;textbook
票,표할,표,material
標(标),표,표,material
漂,떠다닐,표,material
品,물건,품,material;textbook
風(风),바람,풍,material;textbook
豊,풍년,풍,material
皮,가죽,피,material;textbook
彼,저,피,material
疲,피곤할,피,material
被,입을,피,material
避,피할,피,material
必,반드시,필,material;textbook
匹,짝,필,material
筆(笔),붓,필,material
畢(毕),마칠,필,material
下,아래,하,material;textbook
夏,여름,하,material;textbook
賀(贺),하례할,하,material
河,물,하,material;textbook
何,어찌,하,material;textbook
荷,멜,하,material
學(学),배울,학,material;textbook
鶴(鹤),학,학,material
旱,가물,한,material;textbook
汗,땀,한,material
漢(汉),한수,한,material
韓(韩),나라,한,material;textbook
恨,한,한,material
限,한할,한,material
閑(闲),한가할,한,material
寒,찰,한,material;textbook
割,벨,할,material
鹹(咸),다,함,material
陷,빠질,함,material
含,머금을,함,material
合,합할,합,material;textbook
恆(恒),항상,항,material;textbook
項(项),항목,항,material;textbook
抗,겨룰,항,material
航,배,항,material
巷,마을,항,material
港,항구,항,material
海,바다,해,material;textbook
害,해로울,해,material
解,풀,해,material;textbook
奚,어찌,해,material
亥,돼지,해,material;textbook
該(该),갖출,해,material
核,씨,핵,material
行,다닐,행,material;textbook
幸,다행,행,material;textbook
向,향할,향,material;textbook
享,누릴,향,material
香,향기,향,material;textbook
鄕,시골,향,material
響(响),울릴,향,material
許(许),허락할,허,material;textbook
虛(虚),빌,허,material
軒(轩),집,헌,material;textbook
憲(宪),법,헌,material
獻(献),드릴,헌,material
險(险),험할,험,material
驗(验),시험,험,material
革,가죽,혁,material;textbook
現(现),나타날,현,material;textbook
玄,검을,현,material
絃(弦),줄,현,material
賢(贤),어질,현,material;textbook
縣(县),고을,현,material;textbook
懸(悬),매달,현,material
顯(显),드러낼,현,material
穴,동굴,혈,material
血,피,혈,material
嫌,싫어할,혐,material
協(协),도울,협,material;textbook
脅(胁),위협할,협,material
兄,형,형,material;textbook
亨,형통할,형,material
形,모양,형,material
刑,형벌,형,material;textbook
螢(萤),반딧불,형,material;textbook
衡,저울대,형,material
惠,은혜,혜,material
慧,지혜,혜,material
兮,어조사,혜,material
乎,어조사,호,material
呼,부를,호,material
好,좋을,호,material;textbook
胡,되,호,material;textbook
湖,호수,호,material;textbook
浩,넓을,호,material
戶(户),집,호,material;textbook
虎,범,호,material;textbook
號(号),이름,호,material;textbook
豪,호걸,호,material
毫,터럭,호,material
護(护),도울,호,material;textbook
互,서로,호,material
或,혹,혹,material
惑,미혹될,혹,material
昏,저물,혼,material
婚,혼인할,혼,material
混,섞일,혼,material;textbook
魂,넋,혼,material
忽,갑자기,홀,material
洪,넓을,홍,material
鴻(鸿),큰기러기,홍,material
弘,넓을,홍,material
紅(红),붉을,홍,material
火,불,화,material;textbook
禾,벼,화,material
和,화할,화,material;textbook
化,될,화,material;textbook
花,꽃,화,material
貨(货),재물,화,material
話(话),말씀,화,material;textbook
畫(画),그림,화,material;textbook
華(华),빛날,화,material
禍(祸),재앙,화,material
確(确),굳을,확,material
擴(扩),넓힐,확,material
穫(获),거둘,확,material
患,근심,환,material;textbook
丸,둥글,환,material;textbook
歡(欢),기쁠,환,material
換(换),바꿀,환,material
環(环),고리,환,material
還(还),돌아올,환,material;textbook
活,살,활,material;textbook
黃(黄),누를,황,material;textbook
皇,임금,황,material
荒,거칠,황,material
況(况),상황,황,material
回,돌,회,material;textbook
會(会),모일,회,material;textbook
悔,뉘우칠,회,material
懷(怀),품을,회,material
獲(获),얻을,획,material;textbook
劃(划),그을,획,material;textbook
橫(横),가로,횡,material
孝,효도,효,material;textbook
效,본받을,효,material;textbook
曉(晓),새벽,효,material
後(后),뒤,후,material;textbook
厚,두터울,후,material
侯,제후,후,material
候,기후,후,material
訓(训),가르칠,훈,material;textbook
毀(毁),헐,훼,material
揮(挥),휘두를,휘,material
輝(辉),빛날,휘,material
休,쉴,휴,material;textbook
攜(携),이끌,휴,material
兇(凶),흉할,흉,material
胸,가슴,흉,material
黑,검을,흑,material;textbook
吸,마실,흡,material
興(兴),일,흥,material;textbook
喜,기쁠,희,material
希,바랄,희,material;textbook
稀,드물,희,material
戱(戯),놀이,희,material
殖,번식할; 늘릴; 번성할,식,textbook
怕,두려워할,파,textbook
填,메울; 채울,전,textbook
串,꿸; 엮을; 공모할,곶 관,textbook
蝨(虱),이(벌레),슬,textbook
站,설; 정거장,참,textbook
這(这),이; 이것; 여기,저,textbook
為(为),할; 행할,위,textbook
廠(厂),공장,창,textbook
仿,본뜰; 모방할,방,textbook
悶(闷),답답할; 우울할,민,textbook
軸(轴),축,축,textbook
団,둥글; 단(덩이),단,textbook
教,가르칠,교,textbook
狸,너구리,리,textbook
盒,상자; 합,합,textbook
沁,스며들,심,textbook
型,본; 거푸집; 형,형,textbook
呈,드릴; 나타낼,정,textbook
戦,싸움; 전쟁,전,textbook
蟬(蝉),매미,선,textbook
噁(恶),미울; 역겨울,오,textbook
帖,문서; 게시; 초대장,첩,textbook
芝,지초; 영지(버섯),지,textbook
楚,또렷할; 초나라,초,textbook
呂(吕),성; 율(음률),려 여,textbook
媽(妈),어머니,마,textbook
轎(轿),가마,교,textbook
噴(喷),뿜을,분,textbook
婁(娄),성; 자주,루,textbook
匠,장인,장,textbook
旨,뜻; 취지,지,textbook
尼,비구니; 여승,니,textbook
呷,마실; 들이킬,합,textbook
鼎,솥; 정(솥),정,textbook
喇,나팔; 라마,나 라,textbook
芭,파초(바나나과),파,textbook
徳,덕,덕,textbook
清,맑을; 깨끗할,청,textbook
酸,실; 신맛; 산,산,textbook
郎,사내; 낭군,랑,textbook
劑(剂),약제,제,textbook
旭,아침 해; 욱(햇빛),욱,textbook
漳,강 이름(장수),장,textbook
勻(匀),고를; 균등할,균,textbook
鋪(铺),펼; 깔; 가게,포,textbook
藹(蔼),화애할; 온화할,애,textbook
蔻,육두구; 두구,구,textbook
寛,너그러울,관,textbook
豐(丰),풍성할,풍,textbook
估,헤아릴; 추정할,고,textbook
夭,일찍 죽을; 요절,요,textbook
飼(饲),기를; 먹일,사,textbook
竈(灶),부엌 아궁이; 화덕,조,textbook
轅(辕),끌채; 수레채,원,textbook
蠅(蝇),파리,승,textbook
產(产),낳을; 생산할,산,textbook
噂,소문,준,textbook
坎,구덩이; 재난,감,textbook
晚,저녁; 늦을,만,textbook
刁,교활할,조,textbook
欠,모자랄; 빚질,흠,textbook
青,푸를; 젊을,청,textbook
珊,산호,산,textbook
爾(尔),너; 그대,이,textbook
悪,악할,악,textbook
唔,깨물; 입에 머금을,오,textbook
窒,막힐,질,textbook
真,참; 진실,진,textbook
処,곳; 처리할,처,textbook
栄,영화; 번성할,영,textbook
踢,찰,척,textbook
們(们),들(복수 대명사),문,textbook
芍,작약,작,textbook
萊(莱),명아주; 묵은밭,래,textbook
芋,토란,우,textbook
証(证),증명할,정,textbook
笛,피리,적,textbook
価,값; 가치,가,textbook
葳,무성할,위,textbook
吻,입술; 입맞춤,문,textbook
荀,성; 식물 이름,순,textbook
